Job Title,Job URL,Experience Needed,Company Name,Location,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job Description,Job Requirements
Senior Technical Talent Acquisition Consultant,https://wuzzuf.net/jobs/p/C4peliuaSfKB-Senior-Technical-Talent-Acquisition-Consultant-Antal-International---Egypt-Cairo-Egypt,Not Specified,Antal International - Egypt,"Cairo, Egypt",Not specified ,Not Specified,Confidential,Human Resources,"Human Resources (HR), Recruitment, Information Technology (IT), Computer Science, Talent Acquisition, Interviewing, Screening, Technical Support, Commerce, SQL, Sourcing, AME, Application Support, Business Administration, Configuring, Customer Care, Customer Service, Customer Support, HR, Installation, No skills and tools found","We're looking for a Senior Technical Talent Acquisition Consultant with minimum of 4 years experience in hiring for Tech roles to join our dyanmic  team. You will be responsible of hiring for tecnical roles within the tech industry such as Devops,AWS, Java, Info-Sec among other roles and dealing with several clients. You will be leading the process from translating the brief into a sourcing strategy to maximize the possibility of placing the roles successfully. - Fluency in English is a MUST - Leadership skills and agility - Experience from 4-5 years  ",No Job requirments found
Test Engineer,https://wuzzuf.net/jobs/p/pMnFcKpDPohB-Test-Engineer-DXC-technology-Cairo-Egypt,Not Specified,DXC.technology,"Cairo, Egypt",Not specified ,Not Specified,Confidential,IT/Software Development,"Computer Science, Information Technology (IT), Testing, Software Testing, Software Development, Software Engineering, Engineering, Quality Control, Computer Engineering, Quality Assurance, Software, Agile, Quality, SQL, QA, javaScript, QC, ISTQB, C#, Java, No skills and tools found","Job Description:Job SummaryWe are looking for passionate test engineers who have an eye for quality and performance to ensure applications are well tested to join us as part of the team.As a successful Test Engineer, you should have a good knowledge of testing methodologies and test automation tools used in the industry; as well as implementing system integration tests that fulfill the functional and technical requirements.Roles And ResponsibilitiesDesign testing scenarios that will demonstrate conformance to all functional and non-functional requirements as defined in business or technical specificationsDevelop test plans and ensure sufficient test coverageDevelop test scripts for the test automation tools used by the project teamCoordinate and collaborate with others in analyzing the requirements to ensure testing scenarios covers all requirementsReview and analyze test results to determine the cause of the discrepancy and communicate with the teamGenerate test reports from the automated test executionsDetermine performance testing models to be used and validate themIdentify inadequacies and improvement opportunities in the methods/standards and recommend changesRequirementsCandidate should possess a technical Diploma / Bachelor's degree in Computing/Information Technology or related fieldPossess good analytical and troubleshooting skillsShould have at least 3 years of experience in software development and/or testingExperience in automated testing tools such as Selenium and Micro Focus UFTExperience in web service testing tools such as Postman and SoapUIExperience in performance testing tools such as Micro Focus LoadRunner and JMeterGood understanding of software developmentProficient in testing and development methodologiesGood verbal and written communication skillAbility to work effectively in a team or independentlyGood To HaveComfortable with fronting clientAbility to conduct user acceptance testing with usersExperience in Agile development environmentsExperience in test management tools such as Micro Focus ALMExperience in test automation frameworks such as Cucumber and Karate",No Job requirments found
IT operation and maintenance engineer,https://wuzzuf.net/jobs/p/5cUyn5zVlRP4-IT-operation-and-maintenance-engineer-Midea-Group-Giza-Egypt,More than 3 years,Midea Group,"6th of October, Giza",Experienced (Non-Manager),Not Specified,Males preferred,IT/Software Development,"IT, Maintenance, Computer Science, Customer Service, Communication skills, ERP, Oracle, Project Management, Information Technology (IT), MES, MLS, QMS, SCADA, APS, SRM, No skills and tools found","Responsible for the overall MES/MLS/QMS/SCADA product incident ticket processing of the Jinzhou production base. can resolve Users fault reports in a timely manner to ensure user satisfaction and improve user experience. Regularly conduct operation and maintenance quality assessment and comparative analysis of MES/MLS/QMS/SCADA products, put forward optimization and improvement suggestions for MES/MLS/QMS/SCADA products, and improve the usability and ease of use of MES/MLS/QMS/SCADA products.  Responsible for the training of new users of ERP/APS/SRM products and user guidance on common issues within the scope, to improve users' proficiency and correct use of MES/MLS/QMS/SCADA products and related IT application systems. Reduce the number of consultation issues within the scope of responsibility. Organize and collect the knowledge base and common system issues of MES/MLS/QMS/SCADA products and form documents. Perform statistical analysis on system failures and propose relevant improvement measures. Assist in the testing of IT projects and operation and maintenance handover evaluation of MES/MLS/QMS/SCADA products, etc. Support the MES/MLS/QMS/SCADA system online switching and other support work for the relevant business units in Jinzhou region.","More than three years of IT work experience.at least one complete implementation experience in IT projects. IT system operation and maintenance experience.A deep understanding of ITIL concepts.Experience in project management and process managementStrong sense of customer service.Understand the basic principles and applications of ORACLE database.Be familiar with business operations and processes in the supply chain field.Experience in ERP implementation.Has strong communication skills, learning ability and adaptability. Has the spirit of teamwork and be able to cooperate well with other members of the team to complete work tasks."
Junior Computer Vision Engineer,https://wuzzuf.net/jobs/p/R4oiQGSp1tW4-Junior-Computer-Vision-Engineer-Noases-Cairo-Egypt,0 to 2 years,Noases,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,IT/Software Development,"Engineering, Computer Science, Information Technology (IT), Software Development, Programming, Design, Software Engineering, Machine Learning, No skills and tools found","Understand the problem and requirements and create applications, algorithms, test frameworks, and environment Design data, image, and video analytics algorithms and evaluate performance on a large dataset Design, train, and optimize Deep Neural Networks to implement on embedded DSP platforms Implement and integrate algorithms into the overall solution Identify, validate, and document business needs and requirements Gather, research, and analyze system and operation processes and data to understand and formulate problems and opportunities Identify and evaluate solution concepts; formulate core problems into tractable mathematical problems Identify, validate, and document solution requirements Develop, analyze, and document solution architecture; identify and document interface, application, and hardware requirements Research and evaluate image, video, and data analysis algorithms and packages based on image processing or machine learning. Create software development and integration plans, test plans, test cases, and acceptance criteria Design and develop software applications and algorithms Design and develop data-gathering applications and test applications Perform testing; gather, analyze, and document test results Create and review documentation for application release; provide technical training to end users and technical support staff as required  Research, validate, troubleshoot, and resolve system or software issues and provide technical support regarding system or software capabilities, issues, and technical questions Identify, define, gather, and analyze solution operational performance metrics and determine necessary corrective actions and/or improvements. "," Bachelor of Science degree or higher in Computer Science, Engineering, Applied Mathematics, or a related technical field  (0 – 2) years of experience in developing image analytics algorithms and applications using C, C++, or other programming languages Knowledge of OpenCV and other open-source image processing, computer vision, or data mining libraries Knowledge of pattern classification, image-based object detection, and object matching Primary experience in building machine learning models and datasets Ability to define system or software requirements and perform requirement analysis Ability to create system or software architecture, design, and specifications Ability to perform system or software design reviews, technical assessments, and trade-off study Ability to create system/software development and integration plans, test plans, and test cases Ability to create and implement advanced algorithms to solve real customer's problems Ability to design and develop software applications Ability to perform system and software integration, installation, configuration, and testing Ability to create technical documentation such as user stories, requirements, design specifications, architectural diagrams, and user manuals Ability to adhere to schedules and work well in a highly collaborative environment on product development projects in a cross-functional, matrix environment and manage the technical team as an assistant Strong Arabic and English language knowledge, both spoken and written. "
Customer Support Advisor,https://wuzzuf.net/jobs/p/8pATg0WEiGL5-Customer-Support-Advisor-IQRA-Network-Cairo-Egypt,1 to 3 years,IQRA Network,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,Administration,"Presentation, Service, Skills, Support, Communication, CRM Systems, Customer, Customer Care, Customer Service, Customer Support, Sales, CRM, Information technology, Help desk, No skills and tools found","Respond to customer queries in a timely and accurate way, via phone, email or chatIdentify customer needs and help customers use specific featuresAnalyze and report product malfunctions (for example, by testing different scenarios or impersonating users)Update our internal databases with information about technical issues and useful discussions with customersMonitor customer complaints on social media and reach out to provide assistanceShare feature requests and effective workarounds with team membersInform customers about new features and functionalitiesFollow up with customers to ensure their technical issues are resolvedGather customer feedback and share with our Product, Sales and Marketing teamsAssist in training junior Customer Support Representatives",Experience as a Customer Support Specialist or similar CS roleFamiliarity with our industry is a plusExperience using help desk software and remote support toolsUnderstanding of how CRM systems workExcellent communication and problem-solving skillsMulti-tasking abilitiesPatience when handling tough casesBSc in Information Technology or relevant diploma
PHP Developer required,https://wuzzuf.net/jobs/p/JCn0mAewlUMM-PHP-Developer-required-Cairo-Egypt,More than 3 years,Confidential Company,"Nasr City, Cairo",Experienced (Non-Manager),Bachelor's Degree,Confidential,Installation/Maintenance/Repair,"Web Development, PHP, Software Development, Computer Science, HTML, CSS, javaScript, AJAX, Codeigniter, Information Technology (IT), Maintenance, IT, Phongap, Ionic, Java, MySQL, Database, Development, Web, Design, Database Design, CodeIgniter, Codeigniter Framework, Laravel Framework, Laravel, php developer, Web Application, Web Application Development, No skills and tools found","Developing, debugging, and optimizing PHP code.Interpreting design specifications and functional requirements.Creating consistent code documentationAbout the job :The job is Full-Time Basis in our company (Nasr City)5 days/week.","Bachelor's degree2+ years of working experienceHands-on experience with PHPStrong database design, implementation, and query development, specifically MySQLGood knowledge of version control and issue tracking tools and of developing web servicesDemonstrable knowledge of web technologies including HTML, CSS, JavaScript, AJAX etcCodeigniter Framework is a mustLaravel  Framework "
Trading Services Specialist,https://wuzzuf.net/jobs/p/AwypJpOjhDhH-Trading-Services-Specialist-Zeal-Capital-Market-Seychelles-Limited-Cairo-Egypt,Not Specified,Zeal Capital Market (Seychelles) Limited,"Cairo, Egypt",Not specified ,Not Specified,Confidential,Customer Service/Support,"Customer Service, Customer Support, Customer Care, Microsoft Office, Call Center, Sales, Communication Skills, English, Computer Science, Information Technology (IT), Logistics, Computer Skills, Marketing, Sales Skills, Real Estate, Supply Chain, Administration, Engineering, Contact Center, CRM, No skills and tools found","The Trading Services team is the main pillar of client retention and satisfaction bridging market knowledge to client needs to increase customer satisfaction and growth. Every Trading Services team member strives to have a positive impact on the client’s trading experience with Zeal. Giving each client added value and leaving them with a positive impact and increased knowledge. Roles and Responsibilities:Monitor market conditions, innovations, and competitors' services, prices.  Create Webinars and Technical analysis reports  Stay up to date on market news and trends in FX, Commodities, Stocks, and Indices.  Inform customers of market conditions, news, volatility, trading hours, etc. ""market pulse""  Explain stock market terms or trading practices to clients.  Maintain customer records by using the CRM and logging communication.  Increase client redeposits  Answer customers' questions about spreads and trading conditions at Zeal.  Serve as product knowledge expert in FX, Metals, Indices, and/or Commodities  Emphasize or recommend service features based on knowledge of customers' needs and vendor capabilities and limitations.  Explain and articulate Zeal research reports to clients.  Determine customers' trading needs  Advise on trading strategies, options, and risk management strategies.  Handle special projects as requested  Attend client meetings to support sales and account conversions when needed  Support in Dealing and Risk related matters to trading accounts  Do Trade Audit Investigations using our current Audit practice while utilizing CS Team Background:B.Sc. Degree from any discipline  4 years of extensive experience in Forex / Stock and Commodities Trading Services field in at any related sector (Banking, Stock Market, Commodities)  Excellent Financial markets knowledge in FX, Stocks, Commodities  Technical and Fundamental analysis  Strategic Trading skills Ability to deliver and simplify sophisticated reports to attract clients attention Skills & Competencies:Selling Skills Communication skills Customer orientation Learning flexibility  ",No Job requirments found
Lead Management Engineer - French Speaker,https://wuzzuf.net/jobs/p/FUnCa8VTn7g2-Lead-Management-Engineer---French-Speaker-Schneider-Electric---Egypt-Cairo-Egypt,Not Specified,Schneider Electric - Egypt,"Cairo, Egypt",Not specified ,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"Engineering, Information Technology (IT), Computer Science, Civil Engineering, Project Management, Software Development, Mechanical Engineering, Software Engineering, Management, Microsoft Office, Computer Engineering, Electrical Engineering, Sales, Sales Skills, Java, Software, Architecture, Construction, Customer Service, Maintenance, No skills and tools found","Who are we and what we stand for?When you work for Schneider Electric you work for a company that is passionate about its people. Our people vision says, Great people make Schneider Electric a great company. We are proud to promote purpose, diversity, inclusion, learning and work-life integration – we’re a great place to work and we are continually striving to be the best place to work!Your Role – Magic happens when you bring great people together!Develop, document and improve business processes for the marketing organization to meet the goals of the business.   Analyze complex business problems and propose solutions using process and system automation.1. Coordinate cross-functional (and multi-system) process development.2. Maintain process documentation including process change orders.  Define business rules and translate requests into business requirements.3. Communicate business, system, quality, and integration requirements.4. Identify opportunities to improve process.  Troubleshoot and resolve process-related issues.5. Validate functional requirements and system specifications to ensure they meet the needs of the business process.  Conduct process and system testing and training to process experts.About You A bachelor's degree in Engineering3 to 5 years of experienceFluency in French and English is a mustGood negotiation and presentation skillsHigh drive to succeed and strong ambition Effective listening & communication skillsSales mindsetHigh customer centricity Knowledge in Salesforce is a plus",No Job requirments found
Sales Client Executive – Banking/Financial Services -Large Multinational IT,https://wuzzuf.net/jobs/p/Xsl9n6CXh75q-Sales-Client-Executive-â€“-BankingFinancial-Services--Large-Multinational-IT-PILLARS-CONSULTANCY-RECRUITMENT-Cairo-Egypt,Not Specified,PILLARS CONSULTANCY & RECRUITMENT,"Cairo, Egypt",Not specified ,Not Specified,Confidential,IT/Software Development,"sales, sales skills, information technology (it), computer science, banking, english, software, business, planning, communication, financial solutions, software applications, No skills and tools found","Sales Client Executive Job Description
•Position is responsible for working with the local account teams to leverage relationships and existing account strategies in the Egyptian financial sector. •Position required to sell the Company’s financial solutions and services to secure new opportunities, maximizing revenue and profitability and increasing the Company's market share. •Executes the sales process by moving new opportunities successfully through the funnel. •Primary focus is on account planning for new Company products in both existing and new users of traditional Company products. •Accountable for building relationships with prospective and competitive customers. •Key interface in defining customer needs and the Company's ability to meet those needs through Company branch solutions. •Serve as the liaison between the customer and the Company for market feedback in regard to issues for new customers escalating any roadblocks to securing the business. •Responsible for proposing and closing deals in the above-mentioned solutions •Targets pre-identified prospects and existing customers within the Egypt banking and financial sector. •Partners with other business units to expand cross-sell opportunities. •Services local clients, typically with responsibility within a single territory/area. •The position requires strong prospecting and proposing skills, the ability to build customer relationships through consultative selling, and promoting customer confidence in the Company. •Must be focused on the development of new business opportunities and closing new accounts allowing us to aggressively penetrate competitive accounts leading to long-term business relationships. Job Requirements
BASIC QUALIFICATIONS: •Bachelor’s Degree. •6-8 years of related experience in the Egyptian financial industry with existing contacts. •Successful experience in value proposition and business case-led selling. •Demonstrated performance and ability to sell value through a Consultative Selling approach. •Strong communication, creative thinking, and presentation skills in English. •Ability to develop senior-level business relationships with account prospects. PREFERRED QUALIFICATIONS: •Experience in selling complex software/applications/services is a plus. •5+ years of related experience Other Vacancies",No Job requirments found
IT Digital Transformation Manager,https://wuzzuf.net/jobs/p/Zqg1BW0487jj-IT-Digital-Transformation-Manager-Cairo-Egypt,10 to 15 years,Confidential Company,"Nasr City, Cairo",Manager ,Bachelor's Degree,"Confidential, Annual Bonus, Medical insurance",IT/Software Development,"Information Technology (IT), Software Solutions, digital transformation, IT, Implementation, ERP, Technology, No skills and tools found","Business Solutions:• Improve operational efficiency and increase productivity by streamlining and automatingbusiness processes.• Analyze business requirements by partnering with key stakeholders across theorganization to develop workflows, perform gap analysis based on best practices, andimplement best-fit solutions to ensure full automation of company processes.• Implement ERP System and resolve implementation issues to ensure on-timeimplementation and accurate reporting.• Stay up to date with new technologies and incorporate new techniques and tools intoexisting workflows.Manufacturing Execution Systems:• Identify areas where MES can be implemented, and automation can be done to eliminatehuman interference and ensure on-time monitoring of performance.• Partner with the technical team to select the best-fit systems• Follow up on implementation to ensure on-time implementation.• Ensure that the MES system is designed, configured, and implemented in a way thatmeets the specific needs of the organization and that it supports the organization'sbusiness objectives.Data Analytics:• Enable data-driven decision-making by developing dashboards to report insights, identifytrends, and make predictions.• Develop dashboards to automate all company metrics and KPIs.• Ensure that data is accurate, complete, and properly stored and implement datagovernance policies and procedures to maintain the quality and integrity of the data.Artificial Intelligence:• Identify opportunities where AI can be used to improve business operations and enhancecustomer experience.• Connect and assess service providers.• Design and implement AI solutions and manage AI projects to ensure on-time deliverywithin budget.InfrastructureInfrastructure :• Develop and maintain all IT strategies, standards, procedures, and policies.• Evaluate new technologies and implement initiatives for their adoption in theorganization's IT infrastructure for business enablement.• Implement technologies for business enablement such as video analytics, conferencesolutions, and communication solutions.. Manage IT staff by selecting, recruiting, and training employees, communicating jobexpectations, and monitoring and evaluating performance.• Manage and maintain the IT infrastructure: This includes overseeing the installation,configuration, and maintenance of hardware, software, and network equipment such as servers, routers, switches, and firewalls. In addition to maintaining company LAN andWAN performance.• Ensure data security and privacy by implementing all levels of security in theInfrastructure and OT and ensure that all IT infrastructure is protected from threats andpotential attacks and implement measures to safeguard confidential data andinformation.","BSc/BA in Information Technology, Computer Science, or a related discipline; professional certification.MBA holder is preferred.Experience and successful full-cycle implementation of ERP, Odoo or SAP, or other Systems.Proven track record in successfully managing and implementing digital transformation. projects in the industrial field.Excellent working knowledge of computer systems, security, network and systems administration, databases, and data storage systemsExcellent communication skills (both written and spoken) to demonstrate clear interpretation and presentation of results to various stakeholders.A firm grasp of IT infrastructure and operations best practices.Budget development and oversight experience.Demonstrated ability to work effectively in matrix reporting/support environment to drive optimum results.Demonstrated ability to direct an organization through internal strategic changes, revenue optimization initiatives, expense control initiatives, and significant compliance.Proven leadership establishing an operating environment of continuous improvement for optimized service quality and/or cost."
Senior UI/UX Designer,https://wuzzuf.net/jobs/p/YcCO19g0UVs3-Senior-UIUX-Designer-AFFSQUARE-Cairo-Egypt,3 to 5 years,AFFSQUARE,"Sheraton, Cairo",Experienced (Non-Manager),Bachelor's Degree,"Confidential, Social and Medical insurance",Creative/Design/Art,"Adobe XD, Figma, UI, UI/UX, UX Design, UX, Ui/ux Design, Design, Computer Science, adobe, mobile applications, Information Technology (IT), front-end, No skills and tools found","UI/UX Design: Create visually appealing and user-friendly designs for web and mobile applications that meet the needs of our clients and end-users.Wireframing and Prototyping: Develop wireframes, interactive prototypes, and user flows to effectively communicate design concepts and interactions.Design Research: Conduct user research and gather feedback to inform and validate design decisions. Stay updated on industry trends and best practices.Collaboration: Collaborate closely with cross-functional teams, including product managers, developers, and other designers, to create cohesive and well-executed designs.Figma and Adobe XD: Leverage your expertise in Figma and Adobe XD to efficiently create, iterate, and maintain design assets and prototypes.Usability Testing: Plan and conduct usability testing to gather insights and feedback, using this information to refine and improve designs.Accessibility: Ensure that designs are accessible and compliant with relevant standards, such as WCAG, to ensure inclusivity.User-Centered Design: Employ a user-centered design approach, keeping the user's needs and preferences at the forefront of design decisions.Design Documentation: Create and maintain design documentation, including style guides, design systems, and design specifications.Project Management: Manage multiple design projects simultaneously, meeting deadlines and delivering high-quality design work.","Bachelor’s degree in design or any related field is preferred.2+ years of experience using Figma is a MUST.3+ years of experience using Adobe XD is a MUST.A strong portfolio showcasing your UI/UX design work, including web and mobile applications.Proficiency in design and prototyping tools.Strong understanding of user-centered design principles.Excellent communication and collaboration skills.Knowledge of current design trends and technologies.Experience with usability testing and user research is a plus.Familiarity with front-end development concepts is a plus."
Full Stack Developer - MERN,https://wuzzuf.net/jobs/p/6N1JJwgZZ8bj-Full-Stack-Developer---MERN-Cairo-Egypt,More than 2 years,Confidential Company,"Nasr City, Cairo",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Computer Science, AWS, HTML, JavaScript, React, CSS, Node.js, RESTful APIs, Testing, NoSQL, Engineering, No skills and tools found","Mentor and assign tasks and projects to team members, ensuring timely completion.Develop and maintain full-stack web and mobile applications using the MERN stack.Build RESTful APIs with Node.js and Express to support web and mobile applications.Write well-designed, testable and efficient code for scalable full-stack applications.Work on bug fixing and improving application performance.Develop front-end interfaces with React to consume REST APIs.Perform debugging and documenting code to ensure quality and stability.Connect to NoSQL databases to store, manipulate and retrieve data.Maintaining a cloud infrastructure AWS.Stay up-to-date of new developments, and best practices in web development.","Bachelor’s degree in Computer Science, Engineering or a related field.Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.Proficiency with JavaScript frameworks such as React JS.Strong experience with Node.js for server-side scripting.Good experience in APIs.Experience with testing and debugging code.Experience with NoSQL databases, such as MongoDB or DynamoDB.Experience with cloud services, particularly AWS. "
Senior Devops Engineer,https://wuzzuf.net/jobs/p/4a5EZNG6NW7g-Senior-Devops-Engineer-Octane-solutions-Cairo-Egypt,5 to 7 years,Octane solutions,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,"Automation, AWS, Cloud, Computer Science, Docker, Engineering, Information Technology (IT), Java, Python, Jenkins, Software, Software Development, No skills and tools found",· Debug platform failures while working with the business on incident response;· Participating in maintenance events and on-call rotation;· Help drive the organization towards continuous delivery;· Build tools to increase the velocity of our engineering teams;· Assist in configuration of integrated tools and user management;· Augment our stack for deploying our cloud based infrastructure;· Keeping systems patched and up to date;· Help ensure that in the event of catastrophic failure we can recover;· Work with engineering teams to increase the operational stability of the platform.,"· Experience with containerization (Docker and Open Shift);· Previous experience working with continuous integration servers (TeamCity, Jenkins);· Experience monitoring application deployments and deployment automation;· Experience with source automation using Jenkins;· 2+ years experience building and managing software in a production environment. Ruby or C# preferred;· Configuring and working with various deployment methodologies, including VM and Cloud (e.g AWS);· Administrator skills on WebLogic Server for multiple applications in a clustered environment;· Ability to support a variety of technologies and frameworks, including but not limited to AWS;· Develop scripts to automate visualization;· Write scripts and automation using Perl/Python/Groovy/Java/Bash;· Implement integrations requested by customers;· Deploy updates and fixes;"
Mid Level Testing Engineer,https://wuzzuf.net/jobs/p/lOloukOkTmwo-Mid-Level-Testing-Engineer-Octane-solutions-Cairo-Egypt,2 to 3 years,Octane solutions,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"Agile, Automation, computer, Computer Science, Engineering, Information Technology (IT), quality, Science, Security, Software Development, Testing, No skills and tools found","· Designing and developing test cases for software tools and websites to verify product functionality according to user requirements· Writing clear and concise bug reports and scenarios to ensure clear communication with the software developer· Testing software releases by executing assigned tests (manual and/or automated)· Testing web services and APIs· Develop and Maintain Testing Plan· Design and Execute in one or more of the Following Testing Types, Automation, Performance and SecurityResponsibilities· Work independently or as part of a team to develop test methodologies, scenarios, and data collection plans to ensure test adequacy;· End to end activities from planning, executing, analysis and reporting on test activities. Testing will be done mostly on site;· Designs, implements, and conducts test and evaluation procedures to ensure system performance requirements are met;· Hands-on oversight of complex, aerospace, environmental, vacuum and R&D testing;· Strong oral and written communication skills.","· BSc or Msc in Computer Science or related degree.· At least 1 year experience in testing Web and Mobile Applications.· Excellent attention to detail to identify defects including Functional/ Non-Functional defects.· Passionate about the quality of our applications.· Previous working experience involving agile Scrum.· Experience in the following areas of testing: automation, performance, security is preferable"
Senior Testing Engineer,https://wuzzuf.net/jobs/p/m4fVk3UUBbR0-Senior-Testing-Engineer-Octane-solutions-Cairo-Egypt,3 to 5 years,Octane solutions,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"Agile, Automation, computer, Computer Science, Engineering, Information Technology (IT), quality, Science, Security, Software Development, Testing, No skills and tools found","Designing and developing test cases for software tools and websites to verify product functionality according to user requirementsWriting clear and concise bug reports and scenarios to ensure clear communication with the software developerTesting software releases by executing assigned tests (manual and/or automated)Testing web services and APIsMonitor, hands on and Follow up with Junior Quality Control EngineersFollowing up with junior software testers and reporting status to the team leaderReporting overall project status and generating statisticsDevelop and Maintain Testing PlanContribute in Improving Test ProcessDesign and Execute in one or more of the Following Testing Types, Automation, Performance and SecurityWork independently or as part of a team to develop test methodologies, scenarios, and data collection plans to ensure test adequacy;End to end activities from planning, executing, analysis and reporting on test activities. Testing will be done mostly on site;Periodically conduct research for new or existing technologies;Provide guidance, training, and mentoring of Test Engineers;Document and communicate automation framework functions, interfaces, test cases and results to diverse audiences;Conducts all aspects of test planning, execution, data collection, data analysis and reportingDesigns, implements, and conducts test and evaluation procedures to ensure system performance requirements are met;Manages all aspects of complex projects;","BSc or Msc in Computer Science or related degree.At least 3 year experience in testing Web and Mobile Applications.Excellent attention to detail to identify defects including Functional/ Non-Functional defects.Passionate about the quality of our applications.Previous working experience involving agile Scrum.Experience in the following areas of testing: automation, performance, security is preferable."
Digital Marketing Manager,https://wuzzuf.net/jobs/p/SkkV1X7LkoiT-Digital-Marketing-Manager-Cairo-Egypt,6 to 10 years,Confidential Company,"Nasr City, Cairo",Manager ,Not Specified,Confidential,IT/Software Development,"Advertising, Communication, Digital Marketing, Marketing, No skills and tools found","Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaignsDesign, build and maintain our social media presenceMeasure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)Identify trends and insights, and optimize spend and performance based on the insightsBrainstorm new and creative growth strategiesPlan, execute, and measure experiments and conversion testsCollaborate with internal teams to create landing pages and optimize user experienceUtilize strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch pointsInstrument conversion points and optimize user funnelsCollaborate with agencies and other vendor partnersEvaluate emerging technologies. Provide thought leadership and perspective for adoption where appropriate","BS degree in marketing or a related fieldA minimum of 6+ years’ experience in a digital marketing or advertising position.Demonstrable experience leading and managing SEO, marketing database, email, SMS, social media and/or display advertising campaignsExperience in identifying target audiences and devising digital campaigns that engage, inform and motivateExperience in optimizing landing pages and user funnelsSolid knowledge of website analytics tools (e.g., Google Analytics, NetInsight, Omniture, WebTrends)Working knowledge of HTML, CSS, and JavaScript development and constraintsIn-depth knowledge of various social media platforms, best practices, and website analytics.Highly creative with excellent analytical abilities and data-driven thinking.Outstanding communication and interpersonal skills.Up-to-date on the latest trends and technologies in digital marketing."
PHP Backend Developer,https://wuzzuf.net/jobs/p/bheli3BzJKim-PHP-Backend-Developer-Alexandria-Egypt,1 to 3 years,Confidential Company,"Alexandria, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"backend, Backend developer, developer, Information Technology (IT), Software Development, PHP, Computer Science, Laravel, Engineering, AWS, Computer Engineering, No skills and tools found","To create, document, deploy professional code based on a conceptual description of the business logic.Participating in requirements analysis.Participating in software designParticipating in giving presentationsParticipating in software testingWriting technical documentsSolving big technical problemsResearching new technologiesWrite high-quality source code to program complete applications within deadlinesControl tools and of developing web services.Conduct functional and non-functional testingDevelop and deploy new features to facilitate related procedures and tools ifnecessaryTroubleshoot, test and maintain the core product software and databases toensure strong optimization and functionalityDevelop technical documents and handbooks to accurately represent application design and code.","Required SkillsWeb Applications development/architecture experience with PHP environmentPHP/MYSQL (both knowledge and experience)NGINX, ApacheJavaScript (jQuery), AJAXAmazon Web Services (AWS)Web Application / Services integration (XML, XSL, SOAP)Ability to produce clearly written and documented code.Experience & Qualifications2+ years of experience as a programmer/developer PHPPHP Frameworks (Symfony, Laravel)Experience with web development based on open source platformsStrong communication skills and the ability to work in a fast-paced, dynamic, team environmentEducationBachelor’s Degree in Computer Science, Information Systems, Computer Engineering, or other related field."
Java Developer,https://wuzzuf.net/jobs/p/WtDy80NtI2g8-Java-Developer-DXC-technology-Cairo-Egypt,Not Specified,DXC.technology,"Cairo, Egypt",Not specified ,Not Specified,Confidential,IT/Software Development,"Java, Computer Science, Information Technology (IT), Software Development, Software Engineering, javaScript, Engineering, Computer Engineering, HTML, SQL, CSS, Android, Web Development, Software, Agile, Git, JSON, Oracle, XML, C#, No skills and tools found","Job Description:Job briefWe are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications.You will be part of a talented software team that works on mission-critical applications. Java developer roles and responsibilities include managing Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing.Java developer responsibilities include designing, developing, and delivering high-volume, low-latency applications for mission-critical systems.ResponsibilitiesContribute to all phases of the development lifecycleWrite well-designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural reviewRequirementsBS/MS degree in Computer Science, Engineering, or a related subjectMinimum 2 years of experienceStrong communication skillsMicroservices ExperienceExperience in test-driven developmentPrevious experience as a full stack is a plusJunit, Agile, Webservices, Java 8, and CI/CDAbility to travel and open for a variety of industriesProven hands-on Software Development experienceProven working experience in Java developmentHands-on experience in designing and developing applications using Java EE platformsObject Oriented analysis and design using common design patterns.Profound insight of Java and JEE internals (Classloading, Memory Management, Transaction management, etc)Excellent knowledge of Relational Databases, SQL, and ORM technologies (JPA2, Hibernate)Experience in the Spring Framework.Experience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC)",No Job requirments found
