Company Name,Link
Tie House,https://wuzzuf.net/jobs/careers/Tie-House-Egypt-20112
Edentech,https://wuzzuf.net/jobs/careers/Edentech-Egypt-78060
IBM WTC Egypt,https://wuzzuf.net/jobs/careers/IBM WTC Egypt-Egypt-91690
IQRA Network,https://wuzzuf.net/jobs/careers/IQRA-Network-United-States-54585
Engosoft,https://wuzzuf.net/jobs/careers/Engosoft-Egypt-57983
CRE Venture Capital,https://wuzzuf.net/jobs/careers/CRE Venture Capital-Egypt-94710
Oracle - Egypt,https://wuzzuf.net/jobs/careers/Oracle - Egypt-Kuwait-91776
Elev8Assessments,https://wuzzuf.net/jobs/careers/Elev8Assessments-Egypt-83482
Horizon Agency,https://wuzzuf.net/jobs/careers/horizonmediaeg-Egypt-21114
Carpet Land,https://wuzzuf.net/jobs/careers/Carpet-Land-Egypt-95542
Link Datacenter,https://wuzzuf.net/jobs/careers/Link-Datacenter-Egypt-23208
GET Group- Egypt,https://wuzzuf.net/jobs/careers/GET-Group--Egypt-Egypt-3132
Al Ahly Momkn for e-payment,https://wuzzuf.net/jobs/careers/Al-Ahly-Momkn-for-e-payment-Egypt-70281
Charisma Design,https://wuzzuf.net/jobs/careers/Charisma-Design-Egypt-41338
Premier Services and Recruitment,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-9418
LABS,https://wuzzuf.net/jobs/careers/LABS-Egypt-36615
DXC.technology,https://wuzzuf.net/jobs/careers/DXC.technology-Saudi Arabia-91492
Decorative Glass And Arab Union Glass Group,https://wuzzuf.net/jobs/careers/Arab-Union-Glass-Factory-Egypt-59231
IST Networks,https://wuzzuf.net/jobs/careers/IST-Networks-Egypt-57432
Anzma tech,https://wuzzuf.net/jobs/careers/Anzma-tech-Egypt-45359
Superior Business Solutions,https://wuzzuf.net/jobs/careers/Superior-Business-Solutions-United-Arab-Emirates-19788
DX Republic,https://wuzzuf.net/jobs/careers/-85330
As-Salam International Hospital,https://wuzzuf.net/jobs/careers/As-Salam-International-Hospital-Egypt-11392
Dynamicslink,https://wuzzuf.net/jobs/careers/Dynamicslink-Egypt-21303
Centione,https://wuzzuf.net/jobs/careers/Centione-Egypt-17177
Finiex Soft ,https://wuzzuf.net/jobs/careers/FAAINEX-Saudi Arabia-94360
ITS ,https://wuzzuf.net/jobs/careers/ITS-Egypt-29055
Dorra Group,https://wuzzuf.net/jobs/careers/Dorra-Group-Egypt-20151
Outservingplus,https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652
Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272
Jumia,https://wuzzuf.net/jobs/careers/Jumia-Egypt-2019
"White House Nannies, Inc.","https://wuzzuf.net/jobs/careers/White House Nannies, Inc.-Egypt-95344"
Qsource,https://wuzzuf.net/jobs/careers/Qsource-Egypt-5561
Mubasher,https://wuzzuf.net/jobs/careers/Mubasher-Egypt-1737
Al Ahly capital holding - Al Ahly Tamkeen,https://wuzzuf.net/jobs/careers/Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Egypt-63503
"Halliburton Energy Services, Inc.","https://wuzzuf.net/jobs/careers/Halliburton Energy Services, Inc.-Egypt-95343"
MICA,https://wuzzuf.net/jobs/careers/MICA-Egypt-36968
Kode Clubs - Hassan Allam Sports Clubs,https://wuzzuf.net/jobs/careers/Kode-Clubs-Egypt-94551
HITS Solutions,https://wuzzuf.net/jobs/careers/HITS-Solutions-Egypt-3358
9H Capital ,https://wuzzuf.net/jobs/careers/9H Capital-Egypt-86790
Alouf Travel,https://wuzzuf.net/jobs/careers/Alouf-Travel-Egypt-58360
InnovaDigits,https://wuzzuf.net/jobs/careers/Innovadigits-Egypt-82835
Rawaj-HCM,https://wuzzuf.net/jobs/careers/Rawaj-co--recruitment-Egypt-28386
DIRAC SYSTEMS,https://wuzzuf.net/jobs/careers/DIRAC-SYSTEMS-Egypt-6923
3S Software,https://wuzzuf.net/jobs/careers/3S-Software-Egypt-14128
Ahmed El-Sallab,https://wuzzuf.net/jobs/careers/Elsallab-Group-Egypt-8557
Nahdetmisr For Environmental services,https://wuzzuf.net/jobs/careers/Nahdetmisr For Environmental services-Egypt-95689
shaheen communication data systems ,https://wuzzuf.net/jobs/careers/confidential-Egypt-85760
Global Brands,https://wuzzuf.net/jobs/careers/gbrands-com-555
SYSTRA,https://wuzzuf.net/jobs/careers/SYSTRA-United-Arab-Emirates-23269
Amazon MENA,https://wuzzuf.net/jobs/careers/Amazon MENA-United Arab Emirates-91371
Enwan Developments,https://wuzzuf.net/jobs/careers/Enwan developments-Egypt-95663
Dafa,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749
Mazar construction ,https://wuzzuf.net/jobs/careers/Mazar construction-Egypt-95168
Viavi Solutions,https://wuzzuf.net/jobs/careers/Viavi-Solutions-Egypt-67182
TRIMETIS,https://wuzzuf.net/jobs/careers/TRIMETIS-Egypt-77031
Exacall,https://wuzzuf.net/jobs/careers/Exacall-Egypt-95665
"Honeywell International, Inc.","https://wuzzuf.net/jobs/careers/Honeywell International, Inc.-United Arab Emirates-94736"
Pure Group ,https://wuzzuf.net/jobs/careers/Pure Group-Egypt-94604
EELU,https://wuzzuf.net/jobs/careers/eelu-Egypt-52613
Logistica,https://wuzzuf.net/jobs/careers/Logistica-Egypt-16461
Estafsar,https://wuzzuf.net/jobs/careers/Estafsar-Egypt-57612
Xceed Contact Center,https://wuzzuf.net/jobs/careers/XCEEDCC-Egypt-52679
FlairsTech,https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631
Etisalat Egypt,https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219
United Group For Engineering And Investment,https://wuzzuf.net/jobs/careers/United-Group-For-Engineering-And-Investment-Egypt-18023
Ultimate Academy,https://wuzzuf.net/jobs/careers/Ultimate Academy-Egypt-95649
WSC,https://wuzzuf.net/jobs/careers/WSC-Egypt-87343
ثقة الانجاز,https://wuzzuf.net/jobs/careers/ثقة-الانجاز-Egypt-95233
Spark Systems,https://wuzzuf.net/jobs/careers/Spark-Systems-Egypt-1607
El-Sewedy Electrometer,https://wuzzuf.net/jobs/careers/El-Sewedy-Electrometer-Egypt-23922
Softec Technologies,https://wuzzuf.net/jobs/careers/Softec-international-Egypt-8897
qTech. ,https://wuzzuf.net/jobs/careers/Alqemam-For-Programming-Egypt-3545
AGG information technology,https://wuzzuf.net/jobs/careers/-89831
3D Diagnostix,https://wuzzuf.net/jobs/careers/3D-Diagnostix-Egypt-3761
Art Link,https://wuzzuf.net/jobs/careers/Art-Link-Egypt-40308
El Sewedy Education - The Knowledge Hub Universities,https://wuzzuf.net/jobs/careers/El-Sewedy-Education-Egypt-30386
El Alsson British & American International School,https://wuzzuf.net/jobs/careers/IH-14644
Schneider Electric - Egypt,https://wuzzuf.net/jobs/careers/Schneider Electric - Egypt-Egypt-91590
classera,https://wuzzuf.net/jobs/careers/Eureka-Egypt-27241
Agolo Egypt,https://wuzzuf.net/jobs/careers/Agolo Egypt-Egypt-79417
Premium Card,https://wuzzuf.net/jobs/careers/Premium-Card-Egypt-766
Infotech,https://wuzzuf.net/jobs/careers/Infotech-Egypt-11641
 Roaya,https://wuzzuf.net/jobs/careers/Roaya-Electronic-Egypt-22686
Lychee Fruit Bar,https://wuzzuf.net/jobs/careers/Lychee-Fruit-Bar-Egypt-68204
Mazaya,https://wuzzuf.net/jobs/careers/Mazaya-Egypt-16975
GS - GEO Solutions ,https://wuzzuf.net/jobs/careers/GS - GEO Solutions-Egypt-77026
Arabic Localizer,https://wuzzuf.net/jobs/careers/Arabic-Localizer-Egypt-2790
hyperone,https://wuzzuf.net/jobs/careers/hyperone-Egypt-95593
K Line Europe,https://wuzzuf.net/jobs/careers/-92966
TTC Technologies,https://wuzzuf.net/jobs/careers/TTC-Technologies-Egypt-20890
Injaz Tech for advanced systems,https://wuzzuf.net/jobs/careers/Injaz-Tech-for-advanced-systems-Egypt-63646
SE Wiring Systems EGYPT,https://wuzzuf.net/jobs/careers/SE-Wiring-Systems-EGYPT-Egypt-23300
ElMotaheda Web ,https://wuzzuf.net/jobs/careers/ElMotaheda-Web--Egypt-17527
Johnson & Johnson,https://wuzzuf.net/jobs/careers/Johnson & Johnson-United Arab Emirates-93154
Cryptostart,https://wuzzuf.net/jobs/careers/Cryptostart-United Arab Emirates-95439
Egabi FSI,https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056
SMARTTEL,https://wuzzuf.net/jobs/careers/SMARTTEL-Egypt-46874
Rashideen Egypt for Trade ,https://wuzzuf.net/jobs/careers/Rashideen-Egypt-for-Trade-Egypt-34677
intrazero,https://wuzzuf.net/jobs/careers/intrazero-Egypt-34477
TEPCO S.A.E.,https://wuzzuf.net/jobs/careers/TEPCO-S-A-E--Egypt-5396
Jumia Technologies AG,https://wuzzuf.net/jobs/careers/Jumia Technologies AG-Egypt-94950
Expleo,https://wuzzuf.net/jobs/careers/SQS-Egypt-Egypt-2422
LINK TSP,https://wuzzuf.net/jobs/careers/LINK-TSP-Egypt-86185
EAST ,https://wuzzuf.net/jobs/careers/EAST-Egypt-14673
Gest For Metals ,https://wuzzuf.net/jobs/careers/Gest-For-Metals-Egypt-18352
Smartverse,https://wuzzuf.net/jobs/careers/Smart-Group-Egypt-36642
LxT,https://wuzzuf.net/jobs/careers/Linguistix-tank-Egypt-44200
Greenway,https://wuzzuf.net/jobs/careers/Greenway-Egypt-74242
Basata,https://wuzzuf.net/jobs/careers/Masary-Egypt-11058
Azm development,https://wuzzuf.net/jobs/careers/MTS-Egypt-9092
OdooTec,https://wuzzuf.net/jobs/careers/OdooTec-Egypt-57875
GLOBAL AUTO,https://wuzzuf.net/jobs/careers/Bavarian-Auto-Group-Egypt-3200
Fixed Solutions,https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523
Holix,https://wuzzuf.net/jobs/careers/EButler-Egypt-51167
Telegeeks LLC,https://wuzzuf.net/jobs/careers/Telegeeks LLC-United States-95493
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,https://wuzzuf.net/jobs/careers/ECONSTRUCT DESIGN & BUILD Pvt Ltd.-Egypt-94725
Midea Group,https://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266
Zeal Capital Market (Seychelles) Limited,https://wuzzuf.net/jobs/careers/Zeal Capital Market (Seychelles) Limited-Egypt-95453
PILLARS CONSULTANCY & RECRUITMENT,https://wuzzuf.net/jobs/careers/PILLARS CONSULTANCY & RECRUITMENT-Egypt-95309
AFFSQUARE,https://wuzzuf.net/jobs/careers/Affsquare-Egypt-45753
Octane solutions ,https://wuzzuf.net/jobs/careers/Octane-solutions-Egypt-91162
Raya Holding for Financial Investments,https://wuzzuf.net/jobs/careers/Raya Holding for Financial Investments-Egypt-91415
SURE International Technology,https://wuzzuf.net/jobs/careers/SURE-International-Egypt-21250
Egast,https://wuzzuf.net/jobs/careers/Egast-Egypt-30501
Aliaict,https://wuzzuf.net/jobs/careers/aliaict-Egypt-38130
softprograms,https://wuzzuf.net/jobs/careers/softprograms-Egypt-88014
Network International -Egypt,https://wuzzuf.net/jobs/careers/Network-International--Egypt-Egypt-28921
Samaya Electronics Egypt LTD,https://wuzzuf.net/jobs/careers/Samaya-Electronics-Egypt-LTD-Egypt-5770
EEC Group,https://wuzzuf.net/jobs/careers/EEC-Group-Egypt-31409
Kian Alraqmih,https://wuzzuf.net/jobs/careers/Kian-Alraqmih-Egypt-95222
acwme,https://wuzzuf.net/jobs/careers/CWME-Egypt-83165
Four Seasons Hotels and Resorts,https://wuzzuf.net/jobs/careers/Four Seasons Hotels and Resorts-Kuwait-91482
Kuehne & Nagel Logistics,https://wuzzuf.net/jobs/careers/Kuehne & Nagel Logistics-Qatar-94706
S.C. Johnson & Son Inc,https://wuzzuf.net/jobs/careers/S.C. Johnson & Son Inc-Egypt-94731
eBSEG,https://wuzzuf.net/jobs/careers/eBSEG-Egypt-10608
Kasrawy Group,https://wuzzuf.net/jobs/careers/Kasrawy-Group-Egypt-43947
Measuresoft oil and gas Services   ,https://wuzzuf.net/jobs/careers/Measuresoft oil and gas Services-Egypt-93887
Global Academic Foundation Hosting University of Hertfordshire UH,https://wuzzuf.net/jobs/careers/Global-University-Egypt-52138
IT Pillars,https://wuzzuf.net/jobs/careers/IT-Pillars-Egypt-21866
Pillars,https://wuzzuf.net/jobs/careers/Pillars-Egypt-4586
Khatib & Alami,https://wuzzuf.net/jobs/careers/Khatib & Alami-Egypt-95376
eVision,https://wuzzuf.net/jobs/careers/eVision-Egypt-7064
Numrah,https://wuzzuf.net/jobs/careers/Numrah-Saudi Arabia-95178
Nature's Rule Egypt LLC ,https://wuzzuf.net/jobs/careers/Nature-Rule-Jordan-31287
Statements for Consulting,https://wuzzuf.net/jobs/careers/Statements-for-Consulting-Egypt-8643
Ultimate Solutions Egypt,https://wuzzuf.net/jobs/careers/Ultimate-Solutions-Egypt-Egypt-20844
Elhazek Construction,https://wuzzuf.net/jobs/careers/Elhazek-Construction-Egypt-32696
Kick Start Interactive,https://wuzzuf.net/jobs/careers/Kick-Start-Interactive-Egypt-8629
INNOVA SOFT,https://wuzzuf.net/jobs/careers/INNOVA SOFT-Tunisia-95355
VAS Integrated Solutions,https://wuzzuf.net/jobs/careers/VAS Integrated Solutions-Egypt-92648
Nerva,https://wuzzuf.net/jobs/careers/Nerva-Egypt-94160
Auto Tager,https://wuzzuf.net/jobs/careers/Auto-Tager-Egypt-91959
Erada,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969
WorldFish,https://wuzzuf.net/jobs/careers/WorldFish-Egypt-95310
WUZZUF,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061
Shatta,https://wuzzuf.net/jobs/careers/Shatta-Egypt-46708
"Nile Bits, LLC.","https://wuzzuf.net/jobs/careers/Nile Bits, LLC.-Egypt-95302"
Intercept Technologies,https://wuzzuf.net/jobs/careers/Intercept-Technologies-Egypt-64833
Nour Eldin Elsherif for Trading vehicles,https://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889
Delta Egypt For Lighting ,https://wuzzuf.net/jobs/careers/Delta-Egypt-Foreign-Trade-Egypt-5797
Tokio Marine Egypt General,https://wuzzuf.net/jobs/careers/Tokio-Marine-Egypt-General-Takaful-Egypt-14889
Fawry for Banking Technology and Electronic Payments S.A.E,https://wuzzuf.net/jobs/careers/Fawry-Banking---Payment-Technology-Services-Egypt-2878
Mass Technology,https://wuzzuf.net/jobs/careers/Mass Technology-Egypt-95263
Youxel,https://wuzzuf.net/jobs/careers/Youxel-Egypt-19495
365 Ecology,https://wuzzuf.net/jobs/careers/365-Ecology-Egypt-24389
Amasi,https://wuzzuf.net/jobs/careers/Amasi-Saudi Arabia-92230
2CooM,https://wuzzuf.net/jobs/careers/2CooM-Egypt-86048
Bypa-ss,https://wuzzuf.net/jobs/careers/Bypa-ss-Egypt-23618
Cilantro,https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955
(MSA) October University,https://wuzzuf.net/jobs/careers/--40-MSA--41--October-University-Egypt-2281
Gamers Lounge,https://wuzzuf.net/jobs/careers/Gamers-Lounge-Egypt-41144
Deal,https://wuzzuf.net/jobs/careers/Deal-Saudi-Arabia-44227
SevenCodeApps,https://wuzzuf.net/jobs/careers/SevenCodeApps-Egypt-84901
Ali Alkhajeh Development,https://wuzzuf.net/jobs/careers/Ali Alkhajeh Development-Egypt-95244
CARITech,https://wuzzuf.net/jobs/careers/Private-business-Egypt-69535
Smart Glass Company,https://wuzzuf.net/jobs/careers/Smart-Glass-Company-Egypt-24204
BBI-Consultancy,https://wuzzuf.net/jobs/careers/BBI-Consultancy-Egypt-1113
IKEN Technology,https://wuzzuf.net/jobs/careers/IKEN-Technology-Egypt-44052
Robiquity,https://wuzzuf.net/jobs/careers/Robiquity-Egypt-57118
Ofoq Consulting,https://wuzzuf.net/jobs/careers/Ofoq-Consulting-Egypt-10611
Kiromarble for marble and granite,https://wuzzuf.net/jobs/careers/Kiromarble-for-marble-and-granite-Egypt-30738
Golden Gates ,https://wuzzuf.net/jobs/careers/Golden Gates-Egypt-87136
YELO,https://wuzzuf.net/jobs/careers/Al-wefaq-Egypt-23708
Dedalus,https://wuzzuf.net/jobs/careers/Dedalus-India-95195
Klik,https://wuzzuf.net/jobs/careers/Klik-Egypt-95090
scandiweb,https://wuzzuf.net/jobs/careers/scandiweb-Latvia-83341
sios,https://wuzzuf.net/jobs/careers/sios-Egypt-95174
Yassien & Partners Law Firm,https://wuzzuf.net/jobs/careers/Yassien---Partners-Law-Firm-Egypt-70230
intella,https://wuzzuf.net/jobs/careers/intella-Egypt-73664
Deutschland Technology Limited,https://wuzzuf.net/jobs/careers/Deutschland-technology-Egypt-37376
Spatium Software,https://wuzzuf.net/jobs/careers/Spatium Software-Egypt-94933
Safa International Travel,https://wuzzuf.net/jobs/careers/Safa-International-Travel-Egypt-43271
Alkarma Developments,https://wuzzuf.net/jobs/careers/Alkarma-Developments-Egypt-52486
MCV,https://wuzzuf.net/jobs/careers/MCV-Egypt-2340
Eg Insurtech,https://wuzzuf.net/jobs/careers/Eg-Insurtech-Egypt-77552
Yespays,https://wuzzuf.net/jobs/careers/Yeshtery-Egypt-80137
Furqan Group for Education & IT,https://wuzzuf.net/jobs/careers/Furqan-Group-for-Education---IT-Egypt-56917
Crevisoft Corporation,https://wuzzuf.net/jobs/careers/Crevisoft-Egypt-40283
Sulfah,https://wuzzuf.net/jobs/careers/Rqmnh-Digitizing-Saudi-Arabia-9481
Egypt Bakery Stores,https://wuzzuf.net/jobs/careers/Egypt-Bakery-Stores-Egypt-71096
Target Integrated Systems,https://wuzzuf.net/jobs/careers/Target-Egypt-78472
Enegix,https://wuzzuf.net/jobs/careers/Enegix-Egypt-94818
Alstom,https://wuzzuf.net/jobs/careers/Alstom-Egypt-79317
RUSHBRUSH INC,https://wuzzuf.net/jobs/careers/RUSHBRUSH-INC-Egypt-28872
Procoor,https://wuzzuf.net/jobs/careers/Procoor-Egypt-24462
NCR,https://wuzzuf.net/jobs/careers/NCR-Egypt-41686
Promech Engineering,https://wuzzuf.net/jobs/careers/Promech-Engineering-Egypt-21525
Forasna,https://wuzzuf.net/jobs/careers/Forasna-Egypt-15764
Origin integrated marketing agency,https://wuzzuf.net/jobs/careers/Origin integrated marketing agency-Egypt-95118
Nile Projects & Trading,https://wuzzuf.net/jobs/careers/Nile-Projects-Trading-Egypt-15438
InitRes,https://wuzzuf.net/jobs/careers/InitRes-Egypt-68636
GEMS Education,https://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339
Seoudi Supermarket,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Ethos International School,https://wuzzuf.net/jobs/careers/Ethos-International-School-Egypt-14146
Zeidex,https://wuzzuf.net/jobs/careers/zeidex-Egypt-40622
Glamera,https://wuzzuf.net/jobs/careers/Glamera-Egypt-47172
Travolic.LLc,https://wuzzuf.net/jobs/careers/Travolic-LLc-Egypt-38993
Tech 101,https://wuzzuf.net/jobs/careers/Tech 101-Romania-95017
etisal for advanced industries ,https://wuzzuf.net/jobs/careers/etisal-for-advanced-industries-Egypt-83648
iNetwork Solutions,https://wuzzuf.net/jobs/careers/iNetwork-Solutions-Egypt-28500
alfanar,https://wuzzuf.net/jobs/careers/Alfanar-Egypt-58564
Town Team,https://wuzzuf.net/jobs/careers/Town-Team-Egypt-18463
Signature Technology DMCC,https://wuzzuf.net/jobs/careers/Signature Technology DMCC-United Arab Emirates-94616
Tartoussieh Engineering & Trading Co,https://wuzzuf.net/jobs/careers/Tartoussieh-for-Engineering-Egypt-27005
Mercury Visual Solutions ,https://wuzzuf.net/jobs/careers/Mercury Visual Solutions-Egypt-95068
"The Micro, Small & Medium Enterprise Development Agency ",https://wuzzuf.net/jobs/careers/The-Micro--Small--amp--Medium-Enterprise-Development-Agency-Egypt-43065
TechAdemics,https://wuzzuf.net/jobs/careers/TechAdemics-Egypt-55889
Upwyde,https://wuzzuf.net/jobs/careers/Upwyde-Egypt-76587
Premier Services and Recruitment Overseas ,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-30005
Queen Tech Solutions,https://wuzzuf.net/jobs/careers/Queen-Tech-Solutions-Egypt-16621
Zewail City,https://wuzzuf.net/jobs/careers/Zewail-City-Egypt-2881
Lumin,https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729
Mazloum Real Estate,https://wuzzuf.net/jobs/careers/Mazloum-Real-Estate-Egypt-85128
Advanced Solutions,https://wuzzuf.net/jobs/careers/Advanced-Solutions-Philippines-70579
engineering tracks,https://wuzzuf.net/jobs/careers/engineering-tracks-Egypt-50528
Asass,https://wuzzuf.net/jobs/careers/Asass-13531
PSH,https://wuzzuf.net/jobs/careers/PSH-Egypt-81542
Techno Management,https://wuzzuf.net/jobs/careers/Techno-Managemenet-Egypt-7889
egabi solutions,https://wuzzuf.net/jobs/careers/Egabi-Solutions-Egypt-58526
El Khamis Hydraulic Company ,https://wuzzuf.net/jobs/careers/El Khamis Hydraulic Company-Egypt-95026
Delivery-tech,https://wuzzuf.net/jobs/careers/Delivery-tech-United-States-63355
Orient,https://wuzzuf.net/jobs/careers/Orient-Egypt-17201
Vzadi.com,https://wuzzuf.net/jobs/careers/Vzadi.com-Egypt-94985
Bright Vision  ,https://wuzzuf.net/jobs/careers/Bright Vision-Egypt-74394
El Teriak Industrial Group,https://wuzzuf.net/jobs/careers/El-Teriak-Industrial-Group-Egypt-17942
Dentsu Inc,https://wuzzuf.net/jobs/careers/Dentsu Inc-Saudi Arabia-94695
TIS,https://wuzzuf.net/jobs/careers/TIS-Saudi Arabia-94883
Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085
iono tech,https://wuzzuf.net/jobs/careers/iono tech-Egypt-94935
Khodar.com,https://wuzzuf.net/jobs/careers/Khodar-Trading-and-Marketing-Egypt-53155
Zamil Steel Buildings Co,https://wuzzuf.net/jobs/careers/Zamil-Steel-Buildings-Co-Egypt-12650
LINK Development,https://wuzzuf.net/jobs/careers/A15-Egypt-15576
LoadServ,https://wuzzuf.net/jobs/careers/LoadServ-Egypt-94914
Dimofinf Operations Center,https://wuzzuf.net/jobs/careers/Dimofinf-Operations-Center-Egypt-56
Zawaya,https://wuzzuf.net/jobs/careers/Zawaya-Egypt-17301
Afaqy,https://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121
Sequel Solutions,https://wuzzuf.net/jobs/careers/Care-Dental-Egypt-27404
2oolAmeme,https://wuzzuf.net/jobs/careers/2oolAmeme-Egypt-94877
Mc Ledger,https://wuzzuf.net/jobs/careers/Cyber-Accounting-Services-L-L-C-United-Arab-Emirates-34892
Sierra Engineering & Manufacturing,https://wuzzuf.net/jobs/careers/Sierra-GCF-Egypt-11587
Kenzz,https://wuzzuf.net/jobs/careers/Kenzz-Egypt-94892
Ibn Sina Pharma,https://wuzzuf.net/jobs/careers/Ibn-Sina-Pharma-Egypt-7249
Dubai Egypt Sweden,https://wuzzuf.net/jobs/careers/Dubai-Egypt-Sweden-Egypt-13844
TA telecom,https://wuzzuf.net/jobs/careers/TA-telecom-Egypt-60503
Al Ahly Medical Company,https://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459
Air Arabia,https://wuzzuf.net/jobs/careers/Air-Arabia-United-Arab-Emirates-24864
TensorGraph,https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724
BrightCap Ventures,https://wuzzuf.net/jobs/careers/BrightCap Ventures-Egypt-94853
Mantrac,https://wuzzuf.net/jobs/careers/Mantrac-Egypt-27769
NAGADA,https://wuzzuf.net/jobs/careers/NAGADA-Egypt-13265
Al Amin Technological Systems,https://wuzzuf.net/jobs/careers/AlAmin-Egypt-27680
Dataline technology company,https://wuzzuf.net/jobs/careers/Dataline technology company-Qatar-94835
Options,https://wuzzuf.net/jobs/careers/Options-Egypt-32852
Softxpert Incorporation ,https://wuzzuf.net/jobs/careers/Softxpert-Incorporation-Egypt-3527
